Concurso,Data,Dezenas
2769,31/08/2024,"10, 16, 35, 46, 49, 60"
2766,24/08/2024,"09, 10, 34, 36, 38, 44"
2763,17/08/2024,"15, 16, 19, 43, 44, 49"
2760,10/08/2024,"08, 11, 19, 39, 47, 48"
2757,03/08/2024,"01, 21, 37, 40, 51, 54"
2754,27/07/2024,"10, 14, 44, 55, 56, 58"
2751,20/07/2024,"04, 13, 18, 42, 52, 53"
2748,13/07/2024,"19, 32, 43, 46, 50, 52"
2747,10/07/2024,"14, 17, 24, 28, 36, 45"
2746,06/07/2024,"22, 27, 30, 43, 51, 56"
2743,29/06/2024,"13, 25, 27, 30, 37, 53"
2740,22/06/2024,"13, 16, 17, 34, 41, 47"
2737,15/06/2024,"16, 20, 30, 34, 37, 45"
2734,08/06/2024,"21, 27, 35, 48, 59, 60"
2731,01/06/2024,"04, 12, 32, 45, 49, 58"
2729,25/05/2024,"20, 27, 41, 47, 53, 54"
2726,18/05/2024,"27, 45, 49, 53, 55, 59"
2723,11/05/2024,"06, 12, 19, 28, 50, 60"
2720,04/05/2024,"08, 15, 16, 23, 42, 43"
2718,27/04/2024,"06, 30, 34, 41, 46, 59"
2715,20/04/2024,"07, 19, 25, 46, 50, 53"
2712,13/04/2024,"07, 15, 19, 35, 40, 42"
2709,06/04/2024,"12, 22, 23, 24, 47, 53"
2706,30/03/2024,"10, 11, 17, 24, 30, 45"
2704,23/03/2024,"03, 07, 10, 25, 31, 52"
2701,16/03/2024,"06, 15, 18, 31, 32, 47"
2698,09/03/2024,"02, 18, 19, 35, 45, 60"
2695,02/03/2024,"15, 17, 32, 33, 34, 40"
2692,24/02/2024,"09, 33, 45, 55, 56, 59"
2689,17/02/2024,"09, 16, 20, 47, 48, 52"
2687,10/02/2024,"02, 04, 24, 30, 34, 50"
2684,03/02/2024,"17, 26, 45, 46, 48, 53"
2681,27/01/2024,"10, 20, 30, 42, 47, 53"
2678,20/01/2024,"10, 13, 16, 18, 37, 54"
2675,13/01/2024,"01, 26, 31, 34, 42, 45"
2672,06/01/2024,"10, 13, 20, 40, 43, 56"
2669,16/12/2023,"04, 07, 16, 35, 46, 54"
2666,09/12/2023,"05, 25, 29, 30, 43, 47"
2663,02/12/2023,"07, 11, 27, 41, 56, 59"
2660,25/11/2023,"06, 12, 13, 20, 38, 60"
2657,18/11/2023,"07, 27, 32, 33, 36, 53"
2655,11/11/2023,"10, 23, 30, 31, 49, 56"
2652,04/11/2023,"13, 23, 26, 29, 45, 59"
2651,01/11/2023,"06, 23, 35, 36, 37, 59"
2650,28/10/2023,"09, 18, 29, 37, 39, 58"
2647,21/10/2023,"09, 33, 39, 43, 50, 54"
2644,14/10/2023,"04, 17, 22, 28, 30, 49"
2642,07/10/2023,"08, 13, 31, 33, 49, 50"
2639,30/09/2023,"02, 08, 11, 22, 48, 49"
2636,23/09/2023,"05, 16, 38, 42, 43, 48"
2633,16/09/2023,"02, 23, 25, 33, 45, 54"
2630,09/09/2023,"14, 18, 22, 26, 31, 38"
2628,02/09/2023,"05, 14, 32, 40, 53, 54"
2625,26/08/2023,"09, 10, 35, 44, 55, 58"
2622,19/08/2023,"09, 19, 22, 24, 50, 60"
2621,16/08/2023,"06, 09, 14, 16, 42, 47"
2620,12/08/2023,"04, 06, 13, 21, 26, 28"
2619,09/08/2023,"05, 36, 39, 41, 44, 50"
2618,05/08/2023,"06, 17, 29, 35, 45, 48"
2617,02/08/2023,"03, 14, 36, 42, 43, 44"
2616,29/07/2023,"06, 16, 23, 35, 38, 49"
2613,22/07/2023,"14, 26, 40, 42, 46, 52"
2612,19/07/2023,"20, 27, 34, 44, 50, 54"
2611,15/07/2023,"04, 12, 18, 21, 25, 49"
2610,12/07/2023,"10, 23, 34, 53, 55, 57"
2609,08/07/2023,"03, 21, 27, 32, 35, 60"
2608,05/07/2023,"07, 13, 17, 24, 29, 52"
2607,01/07/2023,"07, 11, 25, 51, 57, 60"
2604,24/06/2023,"16, 17, 19, 22, 46, 57"
2603,21/06/2023,"03, 07, 13, 29, 52, 56"
2602,17/06/2023,"11, 14, 16, 30, 32, 46"
2601,14/06/2023,"03, 08, 34, 40, 44, 55"
2600,10/06/2023,"04, 18, 37, 38, 46, 60"
2599,07/06/2023,"23, 28, 34, 43, 47, 60"
2598,03/06/2023,"07, 14, 24, 53, 58, 60"
2597,31/05/2023,"14, 26, 34, 54, 56, 58"
2596,27/05/2023,"34, 35, 39, 47, 51, 56"
2595,24/05/2023,"01, 13, 34, 39, 50, 52"
2594,20/05/2023,"07, 26, 32, 35, 49, 55"
2593,17/05/2023,"10, 14, 17, 25, 32, 39"
2592,13/05/2023,"15, 17, 28, 34, 35, 51"
2589,06/05/2023,"01, 15, 16, 25, 32, 36"
2588,03/05/2023,"09, 13, 22, 31, 57, 58"
2587,29/04/2023,"05, 10, 11, 22, 23, 37"
2586,26/04/2023,"10, 18, 41, 49, 53, 59"
2585,22/04/2023,"14, 26, 34, 36, 43, 59"
2584,19/04/2023,"01, 05, 12, 36, 53, 55"
2583,15/04/2023,"02, 20, 27, 30, 52, 59"
2582,12/04/2023,"10, 14, 17, 19, 21, 34"
2581,08/04/2023,"14, 17, 32, 36, 39, 60"
2580,05/04/2023,"03, 04, 13, 29, 36, 43"
2579,01/04/2023,"05, 10, 26, 35, 38, 44"
2578,29/03/2023,"37, 39, 47, 50, 59, 60"
2577,25/03/2023,"12, 18, 22, 31, 44, 50"
2576,22/03/2023,"29, 32, 33, 35, 38, 43"
2575,18/03/2023,"04, 12, 14, 41, 46, 53"
2572,11/03/2023,"03, 07, 15, 22, 24, 50"
2571,08/03/2023,"09, 18, 33, 38, 41, 51"
2570,04/03/2023,"08, 18, 26, 27, 47, 50"
2569,01/03/2023,"06, 07, 25, 28, 31, 52"
